qid,rid,match
Q27573,R002585,1
Q12063,R867883,0
Q21209,R779456,1
Q23903,R607405,0
Q26737,R001745,1
Q22717,R136446,0
Q25326,R000329,1
Q01603,R288160,0
Q14856,R768836,0
Q04718,R444392,1
Q24117,R662243,0
Q14117,R518951,1
Q29612,R004638,1
Q04071,R932321,1
Q02995,R202655,0
Q30136,R005164,1
Q21744,R871684,0
Q01867,R463665,0
Q25235,R000238,1
Q19512,R879499,0
Q25155,R000157,1
Q02714,R076831,0
Q15046,R284515,0
Q02264,R611638,1
Q24303,R823643,0
Q03035,R254337,0
Q03835,R894462,0
Q01856,R181615,1
Q07911,R251445,0
Q13712,R348731,0
Q28863,R003883,1
Q21370,R743907,1
Q09798,R963963,0
Q15750,R746883,0
Q26294,R001301,1
Q14909,R237178,1
Q01743,R864362,0
Q01293,R958416,0
Q19562,R580738,0
Q30028,R005055,1
Q15716,R960194,0
Q27633,R002645,1
Q00987,R782114,1
Q08293,R374034,0
Q22422,R535749,0
Q15878,R475472,0
Q29278,R004301,1
Q25522,R000526,1
Q15463,R377472,0
Q27830,R002845,1
Q01513,R818886,1
Q25424,R000428,1
Q04691,R359360,1
Q29282,R004305,1
Q10696,R915588,0
Q30362,R005391,1
Q03443,R758449,0
Q24286,R805294,0
Q06010,R730856,1
Q24742,R323375,1
Q25663,R000667,1
Q25829,R000834,1
Q23822,R770743,0
Q02468,R139931,0
Q18598,R486784,0
Q04433,R814367,1
Q10127,R881815,0
Q20039,R076122,1
Q17195,R750769,0
Q13214,R100900,0
Q05118,R626417,1
Q29190,R004212,1
Q11538,R874467,1
Q00281,R762014,0
Q20260,R995451,0
Q21780,R689748,1
Q17431,R088074,1
Q21754,R133717,0
Q06614,R016573,0
Q14530,R871935,0
Q01487,R432442,1
Q25498,R000502,1
Q11962,R473297,0
Q21706,R847075,0
Q29936,R004963,1
Q13611,R976087,0
Q13015,R654567,0
Q26428,R001436,1
Q13190,R322786,0
Q25688,R000692,1
Q23421,R389259,1
Q12209,R766469,0
Q05183,R265870,0
Q29945,R004972,1
Q21566,R337755,0
Q24311,R905380,1
Q15266,R690955,1
Q01755,R287173,0
Q06917,R351547,0
Q21739,R007558,0
Q23821,R299614,0
Q11527,R433437,0
Q15973,R890393,1
Q05591,R636496,1
Q00439,R890569,1
Q17764,R754030,0
Q15768,R555325,1
Q26821,R001830,1
Q15270,R568757,0
Q30585,R005615,1
Q25705,R000709,1
Q07838,R971198,0
Q09605,R245235,0
Q26385,R001393,1
Q07730,R769019,0
Q20182,R265878,0
Q04683,R462268,1
Q24877,R114182,0
Q14408,R497053,0
Q10192,R673995,0
Q02330,R658071,0
Q18123,R014306,0
Q07505,R867400,1
Q28927,R003949,1
Q28757,R003777,1
Q17305,R703723,0
Q22526,R368137,0
Q15297,R972636,1
Q01166,R177493,1
Q25106,R000108,1
Q00872,R050819,0
Q16460,R818698,0
Q30373,R005402,1
Q27747,R002761,1
Q10196,R064266,0
Q28450,R003468,1
Q03204,R227605,1
Q02084,R479671,1
Q26481,R001489,1
Q29933,R004960,1
Q13241,R026617,0
Q21291,R591416,0
Q27334,R002346,1
Q21529,R091903,0
Q28341,R003359,1
Q22836,R640430,0
Q02460,R222182,1
Q24936,R496752,0
Q04539,R183810,1
Q11215,R345937,0
Q16963,R570783,1
Q18825,R218839,0
Q01674,R577778,0
Q27239,R002251,1
Q12002,R168952,0
Q10678,R565889,0
Q07410,R295574,0
Q20710,R993787,0
Q24743,R765954,1
Q10172,R107739,0
Q29913,R004940,1
Q30102,R005130,1
Q20412,R715842,0
Q16655,R743314,1
Q26104,R001111,1
Q21406,R557605,1
Q19133,R474007,0
Q02013,R352451,0
Q03863,R379158,1
Q08839,R119179,1
Q20504,R977501,1
Q00529,R092548,0
Q28750,R003770,1
Q05115,R350680,1
Q29061,R004083,1
Q20889,R116797,1
Q05736,R591581,0
Q25210,R000213,1
Q16686,R804932,1
Q05731,R472083,0
Q00166,R311226,0
Q22490,R205700,0
Q28128,R003146,1
Q03374,R597134,0
Q03942,R971964,0
Q01207,R688280,0
Q12631,R713559,0
Q22280,R826156,1
Q17288,R180082,0
Q07487,R864540,1
Q02240,R121094,1
Q12875,R569287,1
Q15156,R639684,1
Q29596,R004622,1
Q28887,R003907,1
Q28430,R003448,1
Q08112,R697898,1
Q26468,R001476,1
Q22213,R794263,0
Q12146,R337789,1
Q14291,R416567,1
Q03411,R926691,1
Q02102,R996730,0
Q15597,R754976,0
Q29389,R004413,1
Q06057,R627273,1
Q27655,R002667,1
Q07994,R156950,0
Q17587,R897091,0
Q27505,R002517,1
Q19503,R121784,0
Q25275,R000278,1
Q15993,R840749,0
Q25152,R000154,1
Q12015,R154653,0
Q21159,R502204,0
Q03407,R484513,1
Q27887,R002902,1
Q13111,R450516,1
Q12523,R451598,0
Q25365,R000368,1
Q17378,R833690,1
Q06983,R930516,1
Q03564,R755396,1
Q13348,R047974,1
Q07712,R770113,0
Q14350,R457192,0
Q17027,R546228,1
Q26943,R001952,1
Q14769,R128098,0
Q12880,R126631,1
Q23085,R446757,0
Q08047,R724520,0
Q16943,R196767,0
Q29674,R004700,1
Q24834,R344053,0
Q25811,R000816,1
Q02962,R018263,0
Q19011,R813832,0
Q26704,R001712,1
Q01805,R763619,1
Q28221,R003239,1
Q03923,R598411,1
Q11092,R754160,1
Q00102,R862596,0
Q21028,R321227,0
Q25421,R000425,1
Q22443,R564889,0
Q06974,R924776,0
Q15784,R078239,1
Q27853,R002868,1
Q18749,R687589,0
Q09027,R248863,0
Q07003,R640891,0
Q11195,R962761,1
Q23394,R974297,1
Q26383,R001391,1
Q22366,R512065,1
Q10957,R788724,0
Q17085,R400474,0
Q10582,R794811,0
Q27031,R002040,1
Q26581,R001589,1
Q14169,R500404,0
Q07613,R508411,0
Q26524,R001532,1
Q11648,R516458,1
Q30307,R005336,1
Q20014,R538938,1
Q15650,R302462,0
Q16285,R111569,1
Q05752,R850932,0
Q29233,R004255,1
Q30568,R005598,1
Q16664,R570474,0
Q25910,R000916,1
Q10147,R068014,1
Q04705,R491047,1
Q28665,R003684,1
Q27801,R002816,1
Q30129,R005157,1
Q17599,R257501,0
Q13028,R244038,0
Q05348,R114071,1
Q09222,R559208,0
Q17907,R681795,0
Q05780,R657810,0
Q12311,R947478,1
Q26633,R001641,1
Q15202,R763891,1
Q28104,R003121,1
Q24576,R095789,0
Q23940,R044032,0
Q10133,R917054,0
Q26160,R001167,1
Q03580,R066086,0
Q01507,R619715,1
Q16707,R085509,0
Q20323,R823762,1
Q25021,R000021,1
Q01008,R224199,1
Q30512,R005542,1
Q07168,R524405,1
Q30140,R005168,1
Q17103,R915859,0
Q13944,R381715,0
Q28792,R003812,1
Q22751,R588083,0
Q27184,R002196,1
Q08509,R045316,0
Q07153,R264689,0
Q18508,R336753,0
Q14904,R880337,0
Q08991,R151699,0
Q24955,R654688,0
Q29458,R004482,1
Q14577,R992450,0
Q25463,R000467,1
Q21121,R616184,0
Q07611,R575107,1
Q06839,R353618,1
Q13266,R571252,0
Q04388,R029805,0
Q25846,R000852,1
Q06212,R908733,1
Q05691,R535354,0
Q19698,R842794,0
Q25583,R000587,1
Q00996,R005296,0
Q26488,R001496,1
Q11066,R804450,0
Q15831,R698810,1
Q13018,R919780,0
Q05431,R068074,0
Q15941,R418975,0
Q17043,R196310,0
Q12033,R007222,1
Q29968,R004995,1
Q25989,R000995,1
Q27596,R002608,1
Q23250,R572200,1
Q08831,R775664,1
Q07930,R162326,0
Q18900,R383438,0
Q06564,R572549,0
Q09530,R401791,0
Q23519,R076745,0
Q24114,R902609,1
Q21837,R165025,0
Q19687,R149935,0
Q25640,R000644,1
Q07693,R109823,1
Q26453,R001461,1
Q22757,R029375,0
Q21347,R911264,0
Q07968,R507538,1
Q12643,R122043,1
Q22520,R979760,0
Q27651,R002663,1
Q29163,R004185,1
Q27678,R002692,1
Q26759,R001768,1
Q29724,R004750,1
Q00461,R323934,0
Q23098,R596597,0
Q23183,R711714,0
Q19200,R701708,0
Q27723,R002737,1
Q23739,R326432,0
Q05704,R703899,0
Q07607,R224872,0
Q12687,R341986,0
Q11785,R010792,0
Q25306,R000309,1
Q28233,R003251,1
Q20997,R598513,0
Q01666,R754565,0
Q17438,R333019,1
Q07138,R122414,0
Q14695,R928925,0
Q08602,R298974,0
Q15662,R790415,0
Q26197,R001204,1
Q16282,R765907,0
Q02359,R520305,0
Q26459,R001467,1
Q26069,R001076,1
Q19092,R819741,0
Q26122,R001129,1
Q09082,R685977,0
Q25225,R000228,1
Q06770,R429300,0
Q16656,R268258,0
Q22955,R914365,0
Q19569,R463981,0
Q11044,R068572,0
Q04035,R527467,1
Q18955,R515735,0
Q04215,R230006,1
Q09808,R981368,0
Q26822,R001831,1
Q18865,R812065,0
Q06574,R952951,1
Q25175,R000178,1
Q28070,R003087,1
Q26349,R001356,1
Q06220,R058665,1
Q28959,R003981,1
Q27204,R002216,1
Q03889,R091022,0
Q21279,R651483,1
Q12099,R505890,0
Q08064,R598560,0
Q25263,R000266,1
Q23816,R364377,0
Q30660,R005690,1
Q10097,R097629,0
Q26452,R001460,1
Q05187,R762226,1
Q08309,R172952,1
Q06566,R970313,1
Q06425,R488609,0
Q13799,R088681,0
Q17242,R086705,0
Q07321,R503922,0
Q08871,R532271,0
Q26280,R001287,1
Q03483,R163671,0
Q30444,R005473,1
Q22761,R772697,1
Q09205,R205273,1
Q19330,R088320,0
Q10959,R569217,1
Q05791,R725467,1
Q15108,R013611,0
Q17227,R138212,0
Q09500,R287200,1
Q15624,R605032,0
Q06552,R276222,1
Q20715,R160011,0
Q12338,R915965,0
Q06309,R654269,0
Q26055,R001061,1
Q13410,R804939,0
Q29159,R004181,1
Q16766,R161702,0
Q25582,R000586,1
Q23046,R938073,1
Q26021,R001027,1
Q18976,R378909,0
Q01595,R710829,0
Q04037,R757368,0
Q06689,R481162,0
Q15585,R591991,0
Q29670,R004696,1
Q05617,R850748,1
Q01982,R001508,0
Q00348,R068506,0
Q27488,R002500,1
Q05204,R513914,0
Q14889,R805129,0
Q15176,R301397,0
Q16700,R136585,1
Q25648,R000652,1
Q16752,R853423,0
Q13078,R591972,1
Q05957,R368426,1
Q08205,R464636,1
Q20638,R784122,1
Q06522,R504217,0
Q15274,R943562,0
Q17191,R286159,0
Q04086,R559650,1
Q21393,R586409,1
Q07738,R856138,0
Q20513,R738616,1
Q10600,R658894,0
Q18081,R048486,0
Q25519,R000523,1
Q00135,R744875,0
Q29096,R004118,1
Q29871,R004897,1
Q26960,R001969,1
Q19116,R396471,0
Q13031,R732375,0
Q12322,R998456,0
Q25100,R000102,1
Q07062,R719001,1
Q25392,R000395,1
Q02238,R263941,0
Q28884,R003904,1
Q02478,R383768,1
Q08826,R326968,0
Q10344,R256819,0
Q28166,R003184,1
Q24208,R437619,1
Q00131,R390264,0
Q00085,R054542,0
Q27489,R002501,1
Q17613,R387074,0
Q24478,R014717,0
Q23517,R587853,0
Q05578,R267852,1
Q20107,R981724,0
Q20193,R805441,1
Q07282,R269874,1
Q15737,R465824,0
Q27011,R002020,1
Q26078,R001085,1
Q30178,R005206,1
Q12341,R729725,0
Q21715,R861276,1
Q27466,R002478,1
Q27751,R002765,1
Q28349,R003367,1
Q26563,R001571,1
Q11524,R812404,0
Q01758,R861872,1
Q25268,R000271,1
Q01882,R175928,0
Q27778,R002792,1
Q20289,R786860,0
Q05803,R392430,0
Q27336,R002348,1
Q01382,R599454,0
Q26236,R001243,1
Q26380,R001388,1
Q05903,R357393,0
Q26844,R001853,1
Q20623,R843238,1
Q08683,R878149,1
Q25721,R000725,1
Q27758,R002772,1
Q24046,R060579,1
Q00040,R831859,0
Q18208,R408994,0
Q20155,R666956,0
Q00735,R849626,0
Q29091,R004113,1
Q12622,R686248,0
Q12138,R098235,0
Q09474,R971163,1
Q03471,R704376,0
Q26025,R001031,1
Q26963,R001972,1
Q04141,R670098,0
Q18364,R874515,1
Q29610,R004636,1
Q01079,R582228,0
Q16570,R313065,0
Q26412,R001420,1
Q21627,R815838,1
Q13334,R123231,0
Q16643,R047019,0
Q22884,R986326,0
Q18382,R399753,0
Q11439,R061957,0
Q28222,R003240,1
Q21561,R884107,0
Q21663,R816431,1
Q26215,R001222,1
Q27984,R003001,1
Q22511,R869659,1
Q22555,R089801,0
Q27608,R002620,1
Q00463,R138604,0
Q02121,R928001,1
Q10884,R195182,1
Q18116,R651086,0
Q30609,R005639,1
Q14943,R876726,0
Q02903,R238366,0
Q08835,R343011,0
Q06821,R665180,1
Q17766,R439968,0
Q29356,R004380,1
Q13129,R757737,1
Q27576,R002588,1
Q03055,R964212,0
Q16251,R841225,1
Q25570,R000574,1
Q19710,R768976,0
Q06762,R268232,0
Q09702,R828295,0
Q17618,R078897,1
Q27857,R002872,1
Q17658,R872313,1
Q04256,R805112,0
Q26291,R001298,1
Q05846,R932708,1
Q09538,R812950,0
Q11567,R961792,1
Q29178,R004200,1
Q07976,R801981,0
Q22863,R500256,0
Q17793,R583142,0
Q09655,R463727,0
Q06560,R759083,0
Q07863,R130789,1
Q03974,R613323,0
Q07763,R282237,0
Q28241,R003259,1
Q06101,R875367,1
Q00052,R006705,0
Q12133,R995476,0
Q30304,R005333,1
Q24413,R940754,1
Q07353,R262633,1
Q26274,R001281,1
Q23298,R681460,1
Q16791,R268230,1
Q26292,R001299,1
Q03425,R320149,0
Q03655,R936216,1
Q15576,R173255,0
Q21688,R115921,1
Q13640,R828080,1
Q25164,R000166,1
Q27269,R002281,1
Q21736,R143723,0
Q28115,R003132,1
Q13893,R465929,0
Q28917,R003939,1
Q26833,R001842,1
Q24192,R218736,0
Q17519,R723090,0
Q23681,R391228,1
Q27106,R002116,1
Q19183,R409915,1
Q21276,R944549,0
Q15692,R883339,1
Q13311,R141970,1
Q17048,R613590,0
Q22789,R535763,0
Q28870,R003890,1
Q20509,R010776,0
Q27997,R003014,1
Q25036,R000036,1
Q08701,R782639,0
Q10461,R674338,0
Q26103,R001110,1
Q27578,R002590,1
Q27672,R002684,1
Q10150,R497693,0
Q10424,R082441,0
Q15253,R932687,0
Q13242,R335218,1
Q27858,R002873,1
Q18670,R905898,1
Q05687,R488206,1
Q15368,R313818,0
Q11642,R458458,0
Q01949,R127266,1
Q01194,R617588,0
Q25279,R000282,1
Q10409,R928251,0
Q13119,R302237,0
Q22287,R194467,0
Q01707,R397982,0
Q13344,R546620,0
Q25969,R000975,1
Q30450,R005479,1
Q13237,R079467,0
Q07599,R335147,0
Q02083,R742178,1
Q14187,R469759,1
Q07481,R454617,0
Q07649,R705809,0
Q02177,R216455,0
Q25724,R000728,1
Q01103,R416622,0
Q29473,R004498,1
Q00431,R021715,0
Q27617,R002629,1
Q10391,R169802,0
Q30482,R005511,1
Q06674,R577999,0
Q21718,R201542,1
Q06284,R728655,0
Q09892,R348606,0
Q27424,R002436,1
Q23825,R533889,1
Q22714,R657607,0
Q00264,R526733,1
Q27207,R002219,1
Q14742,R044236,0
Q00877,R204794,1
Q06201,R294704,0
Q08306,R827715,0
Q12039,R239172,1
Q27291,R002303,1
Q25165,R000167,1
Q10880,R178699,0
Q09758,R827855,0
Q13880,R977281,0
Q03910,R771386,0
Q14587,R864059,0
Q04556,R315887,0
Q28552,R003571,1
Q20353,R619518,0
Q23140,R613009,1
Q21605,R326196,0
Q30200,R005228,1
Q01436,R073231,0
Q19665,R062563,0
Q23164,R662282,1
Q29257,R004279,1
Q23129,R675705,1
Q09786,R138932,1
Q23030,R654395,1
Q01594,R218874,0
Q05751,R754092,1
Q01915,R581776,0
Q10603,R871991,0
Q16898,R768118,1
Q23194,R386894,0
Q25211,R000214,1
Q27961,R002978,1
Q03145,R652131,1
Q16583,R611587,0
Q19838,R753166,0
Q11247,R063837,0
Q09071,R330906,1
Q18533,R200135,0
Q01900,R922780,1
Q18501,R806141,0
Q06016,R994827,0
Q24550,R388448,0
Q09489,R417371,0
Q02096,R864871,1
Q06882,R602511,0
Q30094,R005122,1
Q17230,R327346,1
Q03458,R732051,0
Q05849,R036127,0
Q07190,R689094,0
Q11589,R579158,0
Q14552,R710353,0
Q07253,R892248,1
Q29522,R004547,1
Q04264,R521638,0
Q08279,R196125,0
Q25631,R000635,1
Q25773,R000777,1
Q09100,R914177,0
Q25711,R000715,1
Q26449,R001457,1
Q17839,R906012,1
Q13094,R413099,0
Q25536,R000540,1
Q05119,R863408,1
Q05294,R645334,0
Q17708,R214724,1
Q19191,R888847,0
Q23035,R770292,0
Q18171,R089707,0
Q08958,R225392,0
Q13218,R055900,1
Q04479,R292187,0
Q14509,R911491,0
Q09009,R443518,0
Q15194,R194640,0
Q19802,R540270,1
Q00814,R032607,1
Q09414,R586102,0
Q12606,R130262,0
Q09091,R461154,0
Q28694,R003713,1
Q01976,R169131,0
Q30288,R005316,1
Q28803,R003823,1
Q05256,R378907,0
Q21541,R700745,0
Q06890,R025200,1
Q05536,R630439,1
Q11260,R038648,0
Q22833,R980321,0
Q27125,R002136,1
Q04250,R604545,0
Q07986,R692203,0
Q19600,R456519,0
Q23807,R713386,1
Q12129,R578297,0
Q04179,R020808,0
Q29367,R004391,1
Q26331,R001338,1
Q08896,R195757,0
Q25413,R000417,1
Q20662,R283007,0
Q22855,R446752,0
Q20320,R504986,0
Q00296,R326649,0
Q22309,R234610,1
Q27615,R002627,1
Q20670,R242799,1
Q28546,R003565,1
Q13882,R702179,1
Q17088,R221581,0
Q24458,R407136,0
Q26143,R001150,1
Q00836,R636820,0
Q17051,R808598,0
Q25907,R000913,1
Q02530,R574560,1
Q14109,R039612,1
Q08971,R834014,1
Q17164,R083954,0
Q26105,R001112,1
Q02246,R175866,1
Q09555,R140987,0
Q06365,R110130,1
Q06403,R253345,0
Q30160,R005188,1
Q27646,R002658,1
Q00092,R712256,0
Q29999,R005026,1
Q17442,R128523,0
Q30668,R005698,1
Q26890,R001899,1
Q27927,R002942,1
Q19670,R778601,1
Q24993,R828745,0
Q24185,R569220,1
Q10760,R728048,0
Q12447,R103285,1
Q03820,R286887,1
Q30048,R005076,1
Q28118,R003135,1
Q26797,R001806,1
Q24323,R267999,0
Q27717,R002731,1
Q29299,R004322,1
Q11144,R885134,0
Q05892,R784930,0
Q29881,R004908,1
Q16230,R769662,0
Q03590,R415565,0
Q27230,R002242,1
Q20658,R598020,0
Q20342,R456877,1
Q26211,R001218,1
Q24491,R537583,0
Q27223,R002235,1
Q30286,R005314,1
Q25637,R000641,1
Q20585,R865608,1
Q17125,R637297,0
Q05656,R406344,0
Q26304,R001311,1
Q25294,R000297,1
Q14230,R312289,1
Q06978,R954275,1
Q04911,R067925,0
Q15003,R510544,1
Q21845,R151450,0
Q04196,R343564,0
Q07042,R265620,0
Q18835,R902477,0
Q11738,R227521,1
Q20021,R568401,0
Q05123,R157957,1
Q14549,R667349,1
Q22528,R476470,0
Q29869,R004895,1
Q10764,R050741,0
Q23848,R777268,0
Q28880,R003900,1
Q22886,R070721,0
Q03130,R958974,0
Q19521,R777623,1
Q10576,R121482,0
Q29123,R004145,1
Q17238,R781084,1
Q02029,R762329,1
Q03636,R000641,0
Q03975,R547993,1
Q24053,R040359,0
Q13359,R551327,1
Q21898,R828990,0
Q06598,R642343,0
Q06031,R530077,0
Q27588,R002600,1
Q22012,R808454,0
Q10804,R441059,1
Q16001,R873743,0
Q09891,R055095,1
Q19963,R500917,0
Q12591,R181535,1
Q04798,R078477,0
Q18630,R948205,0
Q08743,R476386,0
Q17283,R281415,1
Q04912,R025594,0
Q20319,R925429,0
Q18960,R605690,1
Q03729,R757168,1
Q28301,R003319,1
Q03129,R002400,0
Q18479,R043621,1
Q27677,R002691,1
Q01021,R320697,1
Q16884,R186602,0
Q21737,R482362,0
Q25734,R000738,1
Q23413,R038278,0
Q01383,R550291,1
Q30321,R005350,1
Q19235,R700106,1
Q08607,R916026,0
Q00021,R580530,0
Q26085,R001092,1
Q01029,R805460,0
Q06807,R382733,1
Q28690,R003709,1
Q07096,R341598,1
Q27064,R002073,1
Q24911,R156108,1
Q01622,R117207,0
Q09209,R439475,0
Q30605,R005635,1
Q29082,R004104,1
Q25001,R000001,1
Q22664,R341221,0
Q25999,R001005,1
Q23022,R176226,0
Q04284,R123957,1
Q26967,R001976,1
Q02489,R828934,0
Q29249,R004271,1
Q07971,R223365,0
Q30281,R005309,1
Q20958,R106878,0
Q11874,R453188,0
Q03634,R408202,0
Q18383,R833121,1
Q28138,R003156,1
Q07667,R862205,0
Q21760,R040789,1
Q03303,R528941,0
Q27621,R002633,1
Q17596,R136975,1
Q13963,R884090,0
Q20699,R617622,1
Q14656,R255473,0
Q07941,R662117,0
Q11623,R245383,0
Q30425,R005454,1
Q22485,R259573,1
Q04095,R301386,0
Q12844,R107710,0
Q04425,R631745,1
Q25555,R000559,1
Q29368,R004392,1
Q11333,R593669,0
Q05192,R274809,0
Q01899,R806407,0
Q08268,R823158,0
Q19262,R916849,0
Q27149,R002161,1
Q09990,R719816,0
Q09640,R397602,0
Q10197,R998141,1
Q04502,R167883,1
Q19805,R755963,0
Q29041,R004063,1
Q03560,R239016,0
Q29378,R004402,1
Q01400,R332407,0
Q25111,R000113,1
Q30092,R005120,1
Q29965,R004992,1
Q30587,R005617,1
Q25535,R000539,1
